feature,score
daily,0.34066211293163157
dangerous,0.3376020914020697
friend,0.3375801438381848
knowledge,0.33393874351558384
development,0.3331307715859091
case url,0.33271705501935184
department,0.3321998789868657
program,0.3319642564025466
drive,0.3315813545876556
sister,0.33120465266957944
journalist,0.3304327246533131
contact,0.328209114299163
law,0.3278824163151161
parent,0.3268705498413691
rule,0.32665691759069415
security,0.3256074591339297
use,0.32439336338741676
digital,0.3241246999774575
international,0.3237654567368067
bit,0.3233772494925955
meet,0.31696582991709565
email,0.3150297322994215
low,0.31386836877236024
sex,0.31280310363686026
pay,0.3107918020647667
hard,0.3102243631659519
mayor,0.3099462952485715
victim,0.30992318852597117
british,0.3098311054300124
america,0.3088682172128616
produce,0.3087759052648179
clock,0.30603552221227354
york,0.3054448867476743
dear,0.3040978113817744
believe,0.30358057335440813
solid,0.30314686253827383
united,0.3026188916028737
plan,0.302602910992002
action,0.3017376563462069
direct,0.3009787196529305
today,0.2999170065325294
bird,0.29904529634154015
condition,0.29900536317448884
union,0.29841128555248597
september,0.2983634244200386
see,0.29386500709582836
bring,0.2927258851259502
opportunity,0.29124643919489507
congratulation,0.29108044161353086
yesterday,0.2900222707476309
rest,0.2894317750536197
student,0.2893899841888612
lot,0.2893492954755708
great,0.2890159864606658
prove,0.28462826015295417
announce,0.28405319796493206
isis,0.2831601741182944
number,0.2828365079136357
begin,0.2827737952236483
love,0.2796503542054026
rich,0.27868135801676364
market,0.2782331826043673
moon,0.2780359916731921
experience,0.2778092540288595
system,0.27760733044509156
day,0.276798818419291
dynamic,0.2740841682485827
year,0.2693012966593954
group,0.26798414596576564
relationship,0.26788594519408776
list,0.26506494229838407
energy,0.26408596752658664
global,0.2630920185182562
face,0.2630319722948213
year url,0.262444628587489
record,0.2620551481243346
evidence,0.2618461053557038
quick,0.260619735471999
road,0.2600743149210229
lady,0.25665793157043465
life,0.25583688151012346
remain,0.25516440736103496
fail,0.25364651817226125
apply,0.25178603406111666
people,0.25065213912740886
understand,0.2492096979865882
flight,0.24825363816306006
franklin,0.24644828896638238
massive,0.24311553908625141
book url,0.24307551790831705
